,Klebsiella pneumoniae 1162281 1037908.3,Klebsiella pneumoniae KCTC 2242 1049565.4,Klebsiella pneumoniae 1191100241 1074486.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH1 1087440.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH2 1087441.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH4 1087443.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH5 1087444.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH6 1087445.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH7 1094167.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH8 1094168.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH9 1094169.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH10 1094170.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11 1094171.3,Klebsiella pneumoniae subsp. pneumoniae HS11286 1125630.4,Klebsiella pneumoniae subsp. pneumoniae KPNIH12 1128946.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH14 1128948.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH16 1128950.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH17 1128951.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH18 1128952.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH19 1128953.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH20 1128954.3,Klebsiella pneumoniae subsp. pneumoniae DSM 30104 1162296.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH21 1168062.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH22 1168063.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH23 1168064.3,Klebsiella pneumoniae subsp. pneumoniae LZ 1177153.3,Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO 1185418.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO 1185419.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO 1185420.3,Klebsiella pneumoniae subsp. pneumoniae 1084 1193292.6,Klebsiella pneumoniae subsp. pneumoniae WGLW1 1203544.3,Klebsiella pneumoniae subsp. pneumoniae WGLW2 1203545.3,Klebsiella pneumoniae subsp. pneumoniae WGLW5 1203547.3,Klebsiella pneumoniae subsp. pneumoniae ST258-490 1212766.3,Klebsiella pneumoniae subsp. pneumoniae KpQ3 1226115.3,Klebsiella pneumoniae subsp. pneumoniae Ecl8 1226680.3,Klebsiella pneumoniae ATCC BAA-2146 1263871.3,Klebsiella pneumoniae hvKP1 1267897.3,Klebsiella pneumoniae ATCC BAA-1705 1276652.3,Klebsiella pneumoniae 700603 1276653.3,Klebsiella pneumoniae PR04 1279040.3,Klebsiella pneumoniae UHKPC40 1284787.3,Klebsiella pneumoniae UHKPC23 1284788.3,Klebsiella pneumoniae UHKPC05 1284790.3,Klebsiella pneumoniae DMC0526 1284796.3,Klebsiella pneumoniae UHKPC48 1284801.3,Klebsiella pneumoniae UHKPC09 1284810.3,Klebsiella pneumoniae UHKPC01 1284811.3,Klebsiella pneumoniae UHKPC81 1284812.3,Klebsiella pneumoniae UHKPC27 1284813.3,Klebsiella pneumoniae UHKPC 52 1284814.3,Klebsiella pneumoniae UHKPC24 1284815.3,Klebsiella pneumoniae UHKPC26 1284816.3,Klebsiella pneumoniae UHKPC57 1284817.3,Klebsiella pneumoniae UHKPC45 1284819.3,Klebsiella pneumoniae UHKPC22 1284820.3,Klebsiella pneumoniae UHKPC29 1284821.3,Klebsiella pneumoniae UHKPC32 1284822.3,Klebsiella pneumoniae UHKPC04 1284823.3,Klebsiella pneumoniae VAKPC252 1284824.3,Klebsiella pneumoniae VAKPC254 1284825.3,Klebsiella pneumoniae VAKPC269 1284826.3,Klebsiella pneumoniae VAKPC278 1284827.3,Klebsiella pneumoniae VAKPC280 1284828.3,Klebsiella pneumoniae VAKPC270 1284829.3,Klebsiella pneumoniae VAKPC276 1284830.3,Klebsiella pneumoniae VAKPC297 1284831.3,Klebsiella pneumoniae VAKPC309 1284832.3,Klebsiella pneumoniae KP-11 1284834.3,Klebsiella pneumoniae HSL4 1294269.3,Klebsiella pneumoniae 361_1301 1304920.3,Klebsiella pneumoniae 500_1420 1304922.3,Klebsiella pneumoniae 540_1460 1304923.3,Klebsiella pneumoniae 646_1568 1304924.3,Klebsiella pneumoniae subsp. pneumoniae 12-3578 1306950.3,Klebsiella pneumoniae ATCC 25955 1316938.3,Klebsiella pneumoniae G5-2 1316939.3,Klebsiella pneumoniae MGH 78578 272620.3,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 272620.9,Klebsiella pneumoniae NTUH-K2044 484021.4,Klebsiella pneumoniae 342 507522.6,Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 667127.3
KPN_00004,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.53,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.53,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.53,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,100,100,99.77,99.53,99.06
KPN_04588,99.35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.35,100,99.35,100,100,99.35,99.35,100,100,100,100,100,100,100,100,99.35,99.35,100,99.35,100,99.35,99.35,100,100,100,100,100,99.35,100,99.35,99.35,100,100,99.35,100,100,100,100,100,100,100,99.35,100
KPN_01496,99.33,99.55,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,99.78,98.88,98.88,98.88,99.1,98.88,98.88,98.88,99.55,99.55,99.33,99.78,98.88,99.33,99.55,98.88,99.33,98.88,97.76,99.33,98.88,98.88,98.88,98.88,98.88,98.88,98.88,99.78,98.88,98.88,98.88,98.88,99.55,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,98.88,99.78,99.78,98.88,98.88,98.88,98.88,97.53,99.33,99.33,100,100,99.55,99.78,99.1
KPN_03640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.33,,99.67,,,100,,,,,,,,,,,,,,,,,,,99.67,,,,,,,,,,,,,,,,,,,,,,,,100,100,99.33,97.99,
KPN_00165,100,100,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,100,99.86,99.86,99.86,100,99.86,99.86,99.86,100,99.86,100,100,99.86,100,100,99.86,100,99.86,98.73,100,99.86,99.86,99.86,99.86,99.86,99.86,99.86,100,99.86,99.86,99.86,99.86,100,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,100,99.86,99.86,99.86,99.86,98.48,99.86,99.86,100,100,100,97.74,100
KPN_01511,99.23,99.23,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,98.46,99.49,99.49,99.49,99.49,99.49,99.49,99.49,98.46,99.49,98.97,99.49,99.49,99.23,99.49,99.49,99.49,99.49,91.28,99.23,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.23,99.49,99.49,99.49,99.49,99.23,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,91.54,99.49,99.49,100,100,98.72,94.87,99.74
KPN_04096,99.51,100,99.51,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.51,99.02,99.02,99.02,99.51,,,99.02,99.51,99.51,99.51,100,99.02,99.51,100,99.02,99.51,99.02,,100,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.51,99.02,99.02,99.02,99.02,99.51,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.51,99.51,99.02,99.02,99.02,99.02,99.02,99.51,99.51,100,100,99.51,82.94,100
KPN_04188,100,99.53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,100,100,100,99.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.05,99.53,99.53,100,100,100,99.53,99.53
KPN_01467,99.74,99.6,100,100,100,100,100,100,100,100,100,100,100,100,99.81,100,100,100,100,99.81,100,99.6,100,100,,100,100,100,100,99.74,99.87,99.47,100,,99.87,99.6,100,100,100,97.35,100,100,100,100,100,100,100,100,99.74,100,100,100,100,99.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.87,99.87,100,100,100,100,97.22,99.6,99.6,100,100,99.87,98.41,99.21
KPN_00140,100,99.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,98.59,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.24,100,100,100,100,100,98.94,100
KPN_02410,99.45,100,100,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,98.77,99.45,99.45,99.45,99.45,99.45,99.45,99.45,100,99.45,99.45,99.45,100,99.45,99.45,99.45,100,100,100,100,99.45,99.45,100,99.45,100,99.45,100,100,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,100,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,100,100,99.45,99.45,99.45,99.45,100,99.45,99.45,100,100,100,99.45,100
KPN_02902,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.21
KPN_04329,99.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.6,100,100,100,100,100,98.8,99.6
KPN_00070,99.75,100,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.49,99.75,99.75,99.75,100,99.75,99.75,99.75,98.22,100,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,98.22,99.75,99.75,100,100,99.75,97.72,99.49
KPN_04782,99.56,99.56,99.56,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.56,99.78,99.78,99.78,99.34,99.78,99.78,99.78,99.56,99.78,99.56,99.78,99.78,99.56,99.56,99.78,99.56,99.78,99.56,99.56,99.78,99.78,99.78,99.78,99.78,99.78,99.78,100,99.78,99.78,99.78,99.78,99.56,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.56,99.12,99.12,100,100,99.56,,99.32
KPN_03409,98.91,99.13,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,,99.56,99.56,99.56,99.56,99.56,99.56,98.4,99.56,99.13,100,100,99.56,99.56,99.13,99.56,100,99.56,99.34,100,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.13,98.91,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,100,99.56,98.91,
KPN_00909,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.57,99.57,99.57,100,100,100,99.57,100
KPN_02675,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_00037,,99.8,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,,99.41,99.41,99.41,,,,,99.41,,99.8,99.41,,99.41,97.83,99.8,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.61,99.41,99.41,99.41,99.41,,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.61,,99.41,99.41,99.41,99.41,97.64,99.61,99.61,100,100,,98.43,
KPN_03810,100,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,99.72,99.72,99.72,99.72,99.53,99.72,99.46,100,100,100,100,99.72,99.72,100,99.72,99.44,99.72,100,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,99.72,99.72,99.72,99.72,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,99.44,99.72,99.72,99.72,99.72,99.72,100,100,100,100,100,98.03,99.72
KPN_03682,100,99.63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.26,100,100,100,99.63,100,100,100,95.96,98.9,100,100,100,100,100,100,100,100,100,100,100,100,99.26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.32,100,100,100,100,100,98.16,99.26
KPN_01474,100,99.22,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.22,99.61,99.61,99.61,98.43,99.61,99.61,99.61,99.61,98.82,99.22,99.22,99.61,99.61,99.22,99.61,99.61,99.61,94.12,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,98.82,99.61,99.61,99.61,99.61,99.22,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,98.82,100,99.61,99.61,99.61,99.61,94.12,99.22,99.22,100,100,99.61,96.86,98.43
KPN_00698,100,99.74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,99.74,100,100,100,100,100,100,100,100,100,99.74,100,100,100,98.95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,100,100,98.95,100,100,100,100,100,98.95,99.74
KPN_02118,99.68,99.05,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.05,99.37,99.37,99.37,99.37,99.37,99.37,99.37,100,99.37,99.37,99.37,99.37,99.37,99.37,99.37,100,99.05,99.05,99.05,99.37,99.68,99.05,99.37,99.05,99.37,97.47,99.68,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.68,99.37,99.37,99.37,99.37,99.05,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.37,99.05,99.68,99.37,99.37,99.37,99.37,97.15,99.05,99.05,100,100,100,98.42,91.77
KPN_02490,,,,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,100,98.26,98.26,98.26,98.26,98.26,98.26,98.26,,98.26,98.26,98.26,94.44,98.26,98.26,97.92,,100,,,98.26,99.65,,,,98.26,97.57,,98.26,,,98.26,98.26,,,,,,,,,98.26,98.26,,98.26,,98.26,98.26,,,,,,98.26,,,,,,98.26,,,,,100,100,,,
KPN_04289,99.66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,100,100,100,100,100,100,99.32,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,99.19,100,100,100,100,99.32,100,100,100,100,100,100,100
KPN_00119,99.84,99.84,100,99.84,99.84,100,99.84,99.84,99.84,99.84,99.84,99.84,99.84,100,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.68,100,99.84,99.84,99.68,99.84,100,100,99.84,98.58,98.95,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.68,99.84,99.84,99.84,99.77,100,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,100,99.72,99.84,99.84,99.84,99.84,98.26,99.84,99.53,100,100,99.84,98.73,99.68
KPN_00083,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_03847,99.47,98.94,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,98.94,99.47,99.74,99.74,99.74,98.94,99.74,99.74,99.74,97.36,99.21,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.47,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,98.94,99.56,99.74,99.74,99.74,99.74,97.36,99.74,99.74,100,100,99.74,98.94,99.6
KPN_02215,,,,,,,,,,,,99.51,,,,,99.51,,,,99.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.22,,,,,,,,,,,,100
KPN_00332,100,100,99.44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.44,100,100,100,100,100,100,100,100,100,100,100,100,100,96.61,98.88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.61,100,100,100,100,100,98.87,100
KPN_00874,100,99.76,99.76,99.76,99.76,99.49,99.49,99.76,99.49,99.76,99.76,99.76,99.49,99.49,99.49,99.76,99.51,99.51,99.76,99.76,99.76,100,99.49,99.76,99.51,99.76,99.76,99.49,99.76,100,99.76,100,100,99.49,100,99.76,99.76,100,99.76,99.02,100,99.76,99.49,99.76,99.76,99.76,99.76,99.76,100,99.76,99.76,99.76,99.49,100,99.49,99.76,99.76,99.76,99.49,99.76,99.76,99.49,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.72,99.76,99.76,99.49,99.76,99.02,99.76,99.76,100,100,99.75,98.98,99.75
KPN_02080,99.54,99.09,,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.09,,,99.54,98.63,99.54,99.54,99.54,99.54,99.54,99.09,99.54,99.54,99.54,97.72,100,99.54,99.54,99.54,99.54,99.54,99.54,99.54,100,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.54,98.63,,99.54,99.54,99.54,99.54,98.17,99.54,99.54,100,100,98.63,98.63,99.54
KPN_00970,100,100,,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,100,99.62,99.62,99.62,100,100,100,100,99.62,99.62,100,99.62,100,99.62,98.86,100,99.62,99.62,99.62,99.62,99.62,99.62,99.62,100,99.62,99.62,99.62,99.62,100,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.24,99.62,99.62,99.62,99.62,99.62,98.86,100,100,100,100,100,99.24,100
KPN_00730,100,100,99.64,99.64,99.64,99.64,99.64,99.81,99.81,99.64,99.64,99.64,99.81,99.81,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,99.64,99.81,99.64,100,99.81,99.64,99.81,99.82,99.64,100,100,99.64,100,100,99.64,99.82,99.64,100,100,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,99.81,99.81,99.64,99.64,100,99.64,99.64,99.64,99.64,99.81,99.64,99.64,99.64,99.81,99.64,99.81,99.64,99.64,99.64,99.82,100,99.64,99.64,99.64,99.64,100,99.81,99.81,100,100,100,99.42,99.81
KPN_03132,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.78,100,100,100,100,100,100,100,100,100,98.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,98.67,100,100,100,100,100,98.89,100
KPN_00233,98.98,100,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,100,99.49,100,100,99.49,99.49,100,99.49,100,99.49,,100,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,100,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,100,99.49,99.49,99.49,99.49,,100,100,100,100,100,,99.49
KPN_00415,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,100,99.65,99.65,99.65,100,100,100,98.95,99.65
KPN_04141,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_03521,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.54,100,100,100,100,99.77,100,100,100,100,100,100,100,100,98.85,100,100,100,100,100,100,100,100,100,100,100,100,100,99.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,98.85,100,100,100,100,100,99.54,100
KPN_03667,99.79,100,99.79,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,98.46,99.38,99.17,99.52,99.17,99.17,99.17,99.17,99.17,99.79,99.17,99.17,98.96,99.79,99.17,99.17,99.17,99.79,99.79,100,99.59,99.17,99.79,100,99.38,99.79,99.38,99.59,100,99.38,99.38,99.38,99.38,99.38,99.38,99.38,100,99.38,99.38,99.38,99.38,100,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.59,99.79,99.38,99.38,99.38,99.38,99.38,99.79,99.79,100,100,99.79,84.06,99.79
KPN_02761,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.69,100,100,100,100,100,99.69,100,99.07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.07,100,100,100,100,100,99.38,100
KPN_03858,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.6,100,100,100,100,100,98.8,100
KPN_00366,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.18,99.46,99.46,99.46,99.46,99.17,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.73,99.46,99.46,99.18,99.46,97.82,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.73,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.46,98.91,99.46,99.46,99.46,99.46,97.82,99.46,99.46,100,100,99.46,97.82,99.46
KPN_04739,97.34,98.7,98.7,,98.92,,,98.92,,,,,,98.92,,,,,,,,98.99,98.92,98.92,98.92,98.26,98.92,,98.92,98.45,98.92,98.48,99.8,,98.26,98.7,98.92,,,,98.99,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.79,,98.92,98.92,98.92,,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.67,98.92,98.92,98.92,98.92,,98.92,,98.92,98.92,98.92,98.92,98.92,,98.19,,100,100,98.7,96.98,98.26
KPN_00484,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,99.65,100,100,100,100,100
KPN_02081,99.52,99.52,99.52,100,100,100,100,100,100,100,100,100,100,99.52,100,,100,100,100,100,100,99.03,100,100,100,99.03,,,100,99.52,99.52,99.03,99.03,100,99.52,99.52,99.52,99.03,100,94.2,99.04,100,100,100,100,100,100,100,99.52,100,100,100,100,99.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.52,,100,100,100,100,96.62,100,100,100,100,99.52,98.55,100
